,co,no,no2,o3,so2,pm2_5,pm10,nh3,aqi
0,1121.52,2.49,15.59,6.62,7.03,51.11,60.88,6.21,5
1,767.71,1.48,12.0,32.9,8.46,36.26,42.39,3.52,4
2,727.65,1.41,10.11,51.5,8.35,35.83,41.03,3.23,4
3,727.65,1.03,8.82,77.25,8.94,39.41,44.5,3.58,4
4,761.03,0.59,7.37,103.0,9.18,46.39,51.56,3.99,4
5,834.47,0.42,8.23,117.3,10.25,56.73,62.18,5.0,5
6,881.2,0.26,9.94,118.73,10.97,62.78,67.93,5.89,5
7,934.6,0.26,12.85,117.3,11.8,66.6,71.7,7.28,5
8,934.6,0.34,13.02,123.02,12.64,68.82,73.47,6.9,5
9,894.55,0.3,11.14,125.89,12.16,66.43,70.27,5.64,5
10,921.25,0.28,11.82,115.87,11.21,66.58,70.46,6.46,5
11,1028.06,0.11,15.42,94.41,10.13,70.53,75.64,7.66,5
12,1108.17,0.0,17.82,72.24,8.58,70.44,77.07,7.35,5
13,1134.87,0.0,17.65,59.37,7.09,66.22,73.87,6.97,5
14,1094.82,0.0,16.28,53.64,5.84,59.26,67.47,6.84,5
15,1041.41,0.0,15.25,50.07,5.42,52.45,61.14,6.71,5
16,1001.36,0.0,14.22,46.49,5.19,46.71,55.42,6.33,4
17,961.3,0.0,13.54,40.41,4.65,42.92,51.2,5.95,4
18,947.95,0.0,13.2,33.62,4.23,40.21,47.8,5.7,4
19,934.6,0.0,13.37,26.82,4.17,38.79,45.92,5.57,4
20,947.95,0.01,14.05,20.21,4.35,38.7,45.59,5.64,4
21,947.95,0.02,14.74,14.48,4.53,38.8,45.16,5.7,4
22,947.95,0.07,15.25,9.84,4.89,38.12,44.44,5.64,4
23,921.25,0.16,15.42,6.88,5.48,35.95,42.58,5.51,4
24,854.49,2.1,12.68,11.62,6.44,32.1,38.78,5.13,4
25,741.01,2.54,10.03,30.04,6.5,26.6,32.58,4.02,4
26,727.65,1.58,9.94,49.35,6.44,27.04,32.82,3.93,4
27,700.95,0.67,9.08,65.8,6.32,27.81,33.36,4.12,4
28,614.17,0.27,6.94,70.1,5.19,23.11,27.49,3.71,3
29,574.11,0.2,5.66,70.81,4.53,20.84,24.23,3.55,3
30,580.79,0.15,5.36,75.1,4.35,21.6,24.55,3.83,3
31,607.49,0.19,5.57,81.54,4.77,24.61,27.39,4.18,3
32,634.19,0.27,5.91,89.41,5.36,29.27,31.99,4.56,4
33,654.22,0.31,6.34,95.84,5.72,32.99,35.67,4.81,4
34,720.98,0.35,8.82,88.69,6.08,36.75,39.75,6.02,4
35,814.44,0.14,13.37,73.67,6.91,40.54,44.24,7.09,4
36,894.55,0.0,16.28,62.23,7.99,43.42,47.93,7.28,4
37,934.6,0.0,16.97,55.79,8.46,45.1,50.18,7.6,4
38,974.66,0.0,17.14,47.92,7.57,47.46,53.43,7.73,4
39,1041.41,0.0,17.82,42.2,6.68,51.77,58.97,7.47,5
40,1121.52,0.0,18.17,39.34,5.84,56.69,65.11,7.09,5
41,1161.58,0.0,17.65,37.55,4.83,59.59,68.81,6.65,5
42,1148.22,0.0,15.94,36.12,4.11,59.36,68.07,6.33,5
43,1134.87,0.0,14.74,33.98,3.93,58.54,65.88,6.14,5
44,1134.87,0.0,14.22,31.47,3.93,59.15,65.78,5.95,5
45,1134.87,0.0,13.71,29.68,3.99,59.91,65.86,5.76,5
46,1121.52,0.0,13.37,27.54,4.17,58.94,64.52,5.64,5
47,1068.12,0.01,13.02,23.6,4.47,54.71,60.59,5.57,5
48,974.66,0.78,11.65,21.99,5.13,45.42,51.52,5.32,4
49,781.06,1.68,8.82,30.76,5.19,30.73,35.51,4.31,4
50,707.63,1.7,8.65,38.98,5.48,25.41,29.57,4.24,4
51,654.22,1.17,8.4,52.93,5.84,23.48,27.64,4.69,3
52,547.41,0.55,5.91,66.52,4.71,18.23,21.64,4.12,2
53,494.0,0.27,4.8,68.67,3.99,15.07,17.66,3.9,2
54,480.65,0.13,4.93,65.8,3.58,13.32,15.43,4.05,2
55,487.33,0.19,5.31,62.23,3.49,12.47,14.25,4.18,2
56,507.36,0.41,5.48,67.95,4.05,14.04,15.8,4.43,2
57,520.71,0.5,5.66,75.1,4.59,16.07,17.86,4.56,2
58,607.49,0.66,9.0,71.53,5.78,20.32,22.77,6.21,3
59,754.36,0.33,15.77,55.08,7.27,26.26,30.05,7.47,4
60,894.55,0.0,20.39,41.49,8.23,31.8,37.16,7.03,4
61,961.3,0.0,20.91,36.48,7.99,36.0,42.73,6.65,4
62,1001.36,0.0,20.05,31.83,7.21,38.65,46.81,6.65,4
63,1041.41,0.0,19.71,26.11,6.56,40.79,50.22,6.59,4
64,1054.76,0.01,19.02,22.35,5.96,41.18,51.18,6.4,4
65,1028.06,0.0,17.48,22.17,5.25,39.5,48.79,6.02,4
66,1014.71,0.0,15.94,23.6,4.77,38.29,46.4,5.83,4
67,1014.71,0.0,15.25,22.17,4.59,39.39,46.48,5.76,4
68,1068.12,0.02,15.77,16.27,4.47,42.4,49.53,6.08,4
69,1094.82,0.07,16.62,10.82,4.53,45.06,52.32,6.59,4
70,1108.17,0.16,17.14,6.88,4.83,46.08,53.62,6.84,4
71,1054.76,0.3,17.14,5.01,5.72,44.46,52.46,6.52,4
72,974.66,2.04,15.25,10.19,7.75,40.33,48.43,5.95,4
73,807.76,2.04,12.51,30.4,8.35,33.26,39.56,4.43,4
74,767.71,1.51,10.54,52.93,7.99,33.05,38.63,4.18,4
75,747.68,0.89,8.48,84.4,8.23,37.17,42.67,4.31,4
76,660.9,0.42,5.27,103.0,6.8,33.63,37.86,3.77,4
77,587.46,0.23,4.16,101.57,5.66,27.25,30.39,3.42,4
78,567.44,0.15,4.46,97.28,5.48,24.98,27.81,3.52,3
79,567.44,0.16,5.27,92.98,5.9,25.55,28.16,3.8,4
80,600.82,0.14,6.51,91.55,6.74,27.71,30.19,4.43,4
81,634.19,0.09,7.71,87.98,7.39,28.3,30.72,5.13,4
82,714.3,0.05,11.65,72.24,7.87,29.49,32.23,7.54,4
83,867.84,0.02,18.51,48.64,8.46,33.17,37.11,10.26,4
84,1001.36,0.0,23.65,31.11,8.7,37.05,42.66,10.51,4
85,1081.47,0.0,24.68,21.82,7.99,39.43,46.94,9.63,4
86,1081.47,0.01,23.65,16.99,7.09,39.61,48.88,8.74,4
87,1068.12,0.02,22.96,14.13,6.91,38.29,48.61,7.98,4
88,1028.06,0.04,22.28,11.62,7.09,36.1,46.55,7.22,4
89,988.01,0.07,22.28,8.4,6.91,35.34,45.56,6.52,4
90,907.9,0.05,20.22,8.4,6.32,33.15,41.99,5.76,4
91,781.06,0.02,15.77,12.34,5.19,29.06,35.86,4.94,4
92,687.6,0.01,12.17,16.09,4.23,26.02,31.19,4.43,4
93,647.54,0.01,10.37,18.24,3.76,25.03,29.36,4.37,4
94,647.54,0.01,9.6,19.13,3.52,25.6,29.63,4.43,4
95,654.22,0.01,9.17,20.56,3.64,27.4,31.47,4.43,4
96,687.6,0.47,8.65,25.75,4.05,31.51,35.97,4.5,4
97,700.95,0.79,7.37,40.77,3.99,36.75,41.43,4.18,4
98,714.3,0.73,6.34,60.8,4.05,40.27,45.02,4.37,4
99,720.98,0.48,4.97,87.26,4.35,44.13,48.86,4.81,4
100,667.57,0.24,3.09,103.0,3.87,38.79,42.41,3.99,4
101,627.52,0.15,2.7,103.0,3.61,31.68,34.24,3.55,4
102,607.49,0.11,3.0,98.71,3.82,27.92,29.79,3.48,4
103,600.82,0.1,3.6,92.98,4.41,24.49,25.98,3.55,3
104,574.11,0.13,4.28,80.82,4.95,20.41,21.65,3.58,3
105,534.06,0.16,5.14,64.37,4.89,16.6,17.63,3.42,2
106,514.03,0.16,6.68,47.92,4.65,14.42,15.41,3.45,2
107,540.73,0.06,9.77,33.62,5.36,14.65,15.95,3.71,2
108,574.11,0.0,11.82,25.03,5.9,14.97,16.72,3.58,2
109,607.49,0.0,12.51,21.46,5.84,15.46,17.97,3.9,2
110,627.52,0.01,12.85,19.13,5.84,15.81,19.38,4.43,2
111,654.22,0.01,12.85,16.81,5.84,16.28,20.61,4.69,2
112,660.9,0.02,12.68,14.13,5.78,16.71,21.23,4.62,2
113,654.22,0.03,12.51,11.36,5.54,17.1,21.47,4.5,2
114,647.54,0.04,12.17,9.39,5.36,17.38,21.62,4.5,2
115,640.87,0.06,12.0,8.05,5.25,17.58,21.74,4.56,2
116,634.19,0.09,12.0,7.24,5.01,17.87,21.89,4.75,2
117,634.19,0.12,12.17,6.8,4.77,18.12,21.85,5.0,2
118,634.19,0.13,12.51,6.35,4.71,18.21,21.88,5.13,2
119,614.17,0.13,12.51,6.71,4.95,17.44,21.14,4.88,2
